NAME                                                            CPU(cores)   MEMORY(bytes)   
emss-csc-oracle-data-group-1-v15-7b49d65f9c-tx8xv               43m          2469Mi          
emss-csc-oracle-data-group-1-v15-7b49d65f9c-v5xl8               34m          2480Mi          
emss-csc-oracle-data-group-1-v15-7b49d65f9c-x5ftp               33m          2483Mi          
emss-csc-oracle-data-group-1-v15-7b49d65f9c-xgp4f               47m          2465Mi          
emss-csc-oracle-data-group-1-v15-7b49d65f9c-xlqtr               43m          2471Mi          
emss-csc-oracle-woa-data-group-1-v16-796dbf5d4d-6s976           37m          2330Mi          
emss-csc-oracle-woa-data-group-1-v16-796dbf5d4d-6xkg4           38m          2313Mi          
emss-csc-oracle-woa-data-group-1-v16-796dbf5d4d-84xr4           42m          2327Mi          
emss-csc-oracle-woa-data-group-1-v16-796dbf5d4d-cr2tb           33m          2316Mi          
emss-csc-oracle-woa-data-group-1-v16-796dbf5d4d-jrqbn           41m          2317Mi          
emss-csc-oracle-woa-data-group-1-v16-796dbf5d4d-xpz5q           36m          2334Mi          
emss-csc-seatwopa-subdomain-group-1-v10-75ff4987d8-c9vnw        27m          2324Mi          
emss-csc-seatwopa-subdomain-group-1-v10-75ff4987d8-wb9wb        27m          2339Mi          
emss-csc-task-subdomain-group-1-v10-67fbb56699-5n6kg            22m          2435Mi          
emss-csc-task-subdomain-group-1-v10-67fbb56699-vsb2m            21m          2425Mi          
emss-ema-energymarke-front-group-1-v19-59fd576d5d-485k2         61m          2084Mi          
emss-ema-energymarke-front-group-1-v19-59fd576d5d-w7bhd         44m          2066Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-22c8q        41m          2554Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-5th6l        45m          2580Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-6vntf        45m          2586Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-7f456        44m          2593Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-9cl9k        42m          2556Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-g8pgx        46m          2571Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-k7vzx        43m          2575Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-ksd84        44m          2553Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-q2bks        48m          2566Mi          
emss-omp-operator-subdomain-group-1-v11-74d88888d4-zm8l2        38m          2568Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-28k9x               207m         3943Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-4qdm8               199m         3944Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-5tzbs               232m         3948Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-944lm               211m         4027Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-bspbz               201m         3962Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-cl858               249m         3950Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-dqrnv               190m         3948Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-fjcnk               186m         3967Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-jv9rn               203m         3930Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-nwd9q               202m         3947Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-nz527               204m         3962Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-nz85v               268m         3943Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-prvkk               268m         3928Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-sgfgx               188m         3930Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-szdn6               190m         3971Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-vfjm8               207m         3949Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-vlxtc               212m         3943Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-w5slb               231m         3939Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-xk82p               206m         3944Mi          
emss-omp-oracle-data-group-1-v17-5874bb6f8b-zk7hn               241m         3939Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-2kbbk                37m          2469Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-6d7xx                38m          2479Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-74kp4                49m          2489Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-7hvfg                45m          2499Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-8g2r2                41m          2498Mi          
