NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-bia-bill-front-group-1-v25-66df48f9d9-x57kc                 251m         6701Mi          
emss-bia-bill-front-group-1-v25-66df48f9d9-zpbkz                 98m          6695Mi          
emss-bia-download-front-group-1-v7-ff8b6bd6d-dl8kg               26m          1402Mi          
emss-bia-download-front-group-1-v7-ff8b6bd6d-nrrhb               14m          1438Mi          
emss-bia-invoice-front-group-1-v12-575df85676-7bvkv              146m         3443Mi          
emss-bia-invoice-front-group-1-v12-575df85676-7hjbj              126m         3425Mi          
emss-bia-invoice-front-group-1-v12-575df85676-9g4zb              174m         3435Mi          
emss-bia-invoice-front-group-1-v12-575df85676-b4z5g              123m         3412Mi          
emss-bia-invoice-front-group-1-v12-575df85676-cwvdp              169m         3450Mi          
emss-bia-invoice-front-group-1-v12-575df85676-cxpvt              136m         3438Mi          
emss-bia-invoice-front-group-1-v12-575df85676-mp8gp              125m         3444Mi          
emss-bia-invoice-front-group-1-v12-575df85676-r8hk9              75m          3450Mi          
emss-bia-invoice-front-group-1-v12-575df85676-s52x8              131m         3434Mi          
emss-bia-invoice-front-group-1-v12-575df85676-wp2k7              118m         3419Mi          
emss-bia-market-front-group-1-v14-5648485f99-2ldxn               81m          1609Mi          
emss-bia-market-front-group-1-v14-5648485f99-588n4               50m          1626Mi          
emss-bia-market-front-group-1-v14-5648485f99-66tl4               30m          1675Mi          
emss-bia-market-front-group-1-v14-5648485f99-6nc7b               35m          1666Mi          
emss-bia-market-front-group-1-v14-5648485f99-844t2               69m          1677Mi          
emss-bia-market-front-group-1-v14-5648485f99-fpr4w               73m          1629Mi          
emss-bia-market-front-group-1-v14-5648485f99-j5dgt               62m          1694Mi          
emss-bia-market-front-group-1-v14-5648485f99-jcrcw               33m          1643Mi          
emss-bia-market-front-group-1-v14-5648485f99-kck2z               65m          1606Mi          
emss-bia-market-front-group-1-v14-5648485f99-nqq6b               28m          1630Mi          
emss-bia-market-front-group-1-v14-5648485f99-rght6               64m          1629Mi          
emss-bia-market-front-group-1-v14-5648485f99-rnrt9               65m          1748Mi          
emss-bia-market-front-group-1-v14-5648485f99-w6gzd               65m          1727Mi          
emss-bia-market-front-group-1-v14-5648485f99-w6xkn               74m          1696Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-56hx6             61m          4542Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-9l9jf             110m         4654Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-b4qjs             63m          4790Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-dbxcp             174m         4786Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-fnnfn             61m          4729Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-lgb8b             162m         4397Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-rqbsq             114m         4705Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-s4655             82m          4814Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-s7vh6             135m         4568Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-sjtdj             120m         4836Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-t9grq             153m         4823Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-wqncq             167m         4795Mi          
emss-iea-newpower-front-group-1-v21-6cd586b5f9-zt2w2             126m         4849Mi          
emss-iea-sechandequip-front-group-1-v6-7d786c985b-pqz29          13m          1439Mi          
emss-iea-sechandequip-front-group-1-v6-7d786c985b-ptdzh          31m          1435Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-299k5            25m          1448Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-2sp9k            14m          1551Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-2x99j            27m          1512Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-46cjg            35m          1519Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-5p7mf            29m          1530Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-8cfpd            33m          1521Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-f4mdm            28m          1532Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-hbv8k            31m          1516Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-jk2hv            28m          1543Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-lbrw8            27m          1518Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-n77kh            32m          1525Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-nbnbx            32m          1537Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-txcrk            30m          1514Mi          
emss-itc-online-subdomain-group-1-v4-5764ff55cf-zk7l7            13m          1566Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-2nd6t                 40m          3877Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-2wp42                 44m          3972Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-4g5p6                 80m          3942Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-4kspx                 40m          3947Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-4rffh                 118m         3214Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-57xtr                 69m          3903Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-5gqnf                 41m          3423Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-b7v9k                 86m          3900Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-cqvfb                 79m          3913Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-cz2b6                 40m          3947Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-drjxv                 45m          3920Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-dz6nc                 86m          3909Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-fn2ht                 100m         2806Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-g228q                 41m          3940Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-gfzqn                 79m          3868Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-ghqjl                 72m          3893Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-gq99n                 88m          3887Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-gr8w8                 45m          4018Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-h2b4j                 93m          3267Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-hbnmj                 93m          3319Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-hl7rh                 40m          3966Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-hps6l                 44m          3346Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-kf2cv                 122m         3443Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-kxwtz                 103m         3894Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-m5jjq                 44m          3954Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-mztlp                 42m          3970Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-nqjhm                 41m          3971Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-qdtpw                 85m          3935Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-qjcct                 71m          3926Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-qmt8v                 85m          3811Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-qsbwh                 82m          3875Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-qsvpl                 40m          3496Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-r5zwd                 106m         3870Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-rt6jw                 45m          3824Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-t6rd6                 92m          3887Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-tzc6l                 41m          3778Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-v2bm7                 80m          3955Mi          
emss-itc-oracle-data-group-1-v7-7cd457b6d4-vbfjd                 43m          3956Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-2psln      25m          1521Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-4bjfq      53m          1911Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-6b8bd      29m          1630Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-7rjhs      57m          1688Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-s2zc8      59m          1599Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-tdscj      27m          1590Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-vwbl5      67m          1594Mi          
emss-itc-serviceevalr-subdomain-group-1-v6-6d9f6cf649-xmf66      47m          1601Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-2l87g               61m          6167Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-4vn9b               149m         6086Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-5rq2z               160m         4655Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-72lkc               61m          6184Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-8bfx4               62m          6222Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-94xmd               54m          6182Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-9kzxd               129m         5011Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-btlnx               137m         6009Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-c6kpv               160m         4829Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-ctbgj               64m          6178Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-df6cg               65m          4769Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-fcllb               142m         6084Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-frjbf               62m          6244Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-gsd2d               127m         6070Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-j6mqs               107m         6158Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-kc2h8               144m         6047Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-kt2d5               118m         6151Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-lbr5x               129m         4175Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-m6zfh               62m          6160Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-nft64               127m         6048Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-ph6h7               177m         6028Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-pxthj               127m         5993Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-pz2sb               61m          6243Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-q5cws               65m          6229Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-qr5l9               67m          6173Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-rfj6p               103m         6139Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-tzlgj               60m          6197Mi          
emss-itc-src-subdomain-group-1-v8-79f87d75d7-vptpb               138m         6041Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-2qmbf              62m          4122Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-2tkp5              58m          3627Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-4cpw2              125m         4169Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-5h99w              132m         3301Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-5q64w              125m         4192Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-5vqxw              169m         4155Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-6nx8n              53m          3799Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-6sj5c              54m          4163Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-89nfs              124m         4217Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-8c2pm              101m         3937Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-92n7j              55m          3865Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-9srh9              47m          3654Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-b4t5z              127m         4173Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-b8rpl              52m          4258Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-cgkmk              57m          4170Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-ckd86              57m          3873Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-d4spm              58m          4184Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-d52tx              52m          4212Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-d8kp5              61m          4173Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-d8p5w              53m          4251Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-dt2ll              110m         4171Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-fkqf7              120m         3825Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-g22v7              129m         4193Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-gpffk              52m          3991Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-gtvr7              111m         3593Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-j45g7              55m          4145Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-j4j89              114m         4291Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-kg4fm              103m         3839Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-kk82q              60m          4264Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-m5kp7              57m          4212Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-mf7x7              53m          4211Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-nblgn              57m          4190Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-p5zhk              51m          4122Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-pc9cc              52m          4191Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-pndzv              61m          4135Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-pqgd5              110m         4271Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-pxbfs              138m         4210Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-qcg4f              58m          4212Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-stw22              59m          3539Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-tl5dw              145m         4175Mi          
