NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-bcp-envcross-gtw-group-1-v9-55b5988656-wxt2j                125m         7054Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-wzthv                102m         6608Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-xmlgs                78m          6495Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-xnsnm                89m          6585Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-xx6rv                141m         6705Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-xxxcd                88m          6576Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-z2dfn                110m         7221Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-z2mrz                117m         6734Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-zcr5x                86m          6631Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-zd6sq                98m          6905Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-zfzhm                94m          7171Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-zmlrh                80m          7348Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-zmx29                78m          6885Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-zpq4q                113m         6876Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-4bw92                48m          2491Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-4cnxg                51m          2479Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-59bpc                52m          2511Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-5r6s2                35m          2464Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-67l7n                46m          2436Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-69bl6                51m          2515Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-6krch                43m          2425Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-6vtlb                50m          2442Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-8fqkd                50m          2459Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-dsxd4                47m          2470Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-dwctt                47m          2471Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-f2d4p                57m          2442Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-f4pdn                47m          2437Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-gcqrn                55m          2564Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-ggwg9                40m          2548Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-gkjn6                48m          2419Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-gkwx4                49m          2413Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-gslvr                71m          2442Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-hdmnq                45m          2452Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-jqp2m                51m          2452Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-jsrcg                50m          2497Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-jwjtr                68m          2421Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-knjfp                66m          2420Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-knnjq                43m          2416Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-lkcg6                64m          2490Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-m9tnf                48m          2547Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-mg97z                47m          2523Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-mxsvk                58m          2422Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-n4h87                78m          2451Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-n7fw2                57m          2485Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-nmltm                59m          2428Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-nvb88                53m          2460Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-pvmfs                53m          2437Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-rsw8z                45m          2566Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-s5qkx                50m          2457Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-sf6hh                50m          2526Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-vr2zj                54m          2484Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-x6g5t                41m          2463Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-zdndv                42m          2459Mi          
emss-bcp-envcross-ptw-group-1-v8-55bfb48f7c-zfgfg                51m          2449Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-4tf28                147m         5842Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-6crhh                200m         5758Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-6wvg2                158m         5753Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-c6bcc                164m         5790Mi          
