NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-coc-drds-data-group-1-v23-fdf684df4-jsn4g                418m         5596Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-kqbtp                361m         5582Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-ldwcd                346m         5586Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-m5c66                424m         5517Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-m5tn2                394m         5577Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-mjgr7                436m         5599Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-mp9hk                337m         5603Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-mxpqp                391m         5424Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-mzc7d                428m         5559Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-n6njj                347m         5598Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-nctpk                390m         5565Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-ngdj2                416m         5452Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-nvg8q                391m         5586Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-nwvwz                386m         5594Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-p2nxp                418m         5582Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-phzcx                360m         6110Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-pq8jk                398m         5422Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-pxzpf                361m         5600Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-q5q9h                363m         5567Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-q654n                324m         5582Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-qth7v                313m         6073Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-rv8x2                412m         5583Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-sdlg7                414m         5557Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-szv67                374m         5454Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-t5664                374m         5576Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-tw5sk                324m         5612Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-v6x9k                360m         5579Mi          
