NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-g8ch4            78m          3382Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-gc29j            79m          3384Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-hkjv4            41m          3394Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-j8jnq            79m          3385Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-k7xhs            41m          3392Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-lh5zj            46m          3389Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-lnt77            56m          3391Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-lt7q4            34m          3384Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-mthrx            39m          3380Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-njvkc            36m          3389Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-nt9t8            36m          3385Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-nwrkq            35m          3389Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-p8h8q            38m          3390Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-ptddd            40m          3388Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-q69b9            41m          3391Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-r2bph            41m          3388Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-sfxrl            68m          3382Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-t28jw            39m          3394Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-v7drt            44m          3403Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-v9v2z            46m          3386Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-vbcrx            50m          3384Mi          
